,ZEEL.NS,PVRINOX.NS,SUNTV.NS,TV18BRDCST.NS,NAZARA.NS,DISHTV.NS,NETWORK18.NS,NAVNETEDUL.NS,HATHWAY.NS,NDTV.NS
2020-11-11,195.3000030517578,,442.54998779296875,27.799999237060547,,10.5,33.150001525878906,79.0,27.950000762939453,29.100000381469727
2020-11-12,198.4499969482422,,442.04998779296875,28.149999618530273,,10.5,34.150001525878906,79.55000305175781,28.0,30.049999237060547
2020-11-13,192.64999389648438,,424.79998779296875,28.899999618530273,,10.5,34.900001525878906,80.4000015258789,28.200000762939453,33.04999923706055
2020-11-14,193.10000610351562,,426.6000061035156,28.950000762939453,,10.649999618530273,34.599998474121094,81.3499984741211,28.399999618530273,36.349998474121094
2020-11-17,189.5500030517578,,416.25,28.5,,10.449999809265137,33.849998474121094,84.5,28.5,37.79999923706055
2020-11-18,190.5,,417.45001220703125,29.149999618530273,,10.25,35.20000076293945,84.1500015258789,31.350000381469727,38.400001525878906
2020-11-19,186.35000610351562,,421.70001220703125,31.0,,10.350000381469727,36.400001525878906,83.6500015258789,32.099998474121094,37.400001525878906
2020-11-20,185.5,,428.8500061035156,30.049999237060547,,10.25,35.849998474121094,82.3499984741211,31.700000762939453,37.5
2020-11-23,187.1999969482422,,429.29998779296875,30.399999618530273,,10.25,35.650001525878906,81.1500015258789,30.649999618530273,37.70000076293945
2020-11-24,188.3000030517578,,426.25,29.950000762939453,,10.199999809265137,34.95000076293945,82.25,30.049999237060547,39.54999923706055
2020-11-25,188.39999389648438,,416.1000061035156,29.299999237060547,,10.199999809265137,34.0,80.8499984741211,29.899999618530273,41.5
2020-11-26,189.75,,420.3500061035156,29.5,,10.199999809265137,34.150001525878906,80.5999984741211,30.25,42.349998474121094
2020-11-27,192.75,,439.95001220703125,29.700000762939453,,10.199999809265137,34.099998474121094,80.6500015258789,30.700000762939453,42.599998474121094
2020-12-01,195.64999389648438,,445.04998779296875,31.450000762939453,,10.100000381469727,35.79999923706055,79.94999694824219,31.450000762939453,40.5
2020-12-02,197.75,,431.8500061035156,32.099998474121094,,10.149999618530273,36.5,80.19999694824219,31.149999618530273,38.70000076293945
2020-12-03,204.5,,443.25,33.45000076293945,,10.75,37.150001525878906,81.3499984741211,31.75,37.349998474121094
2020-12-04,206.85000610351562,,443.79998779296875,32.70000076293945,,10.949999809265137,36.70000076293945,82.19999694824219,33.29999923706055,37.75
2020-12-07,215.8000030517578,,463.79998779296875,33.0,,11.449999809265137,38.150001525878906,80.5999984741211,33.04999923706055,37.25
2020-12-08,212.75,,458.25,31.75,,11.199999809265137,37.5,80.6500015258789,32.349998474121094,37.54999923706055
2020-12-09,215.5500030517578,,474.8999938964844,31.600000381469727,,13.199999809265137,36.900001525878906,89.0999984741211,35.54999923706055,39.400001525878906
2020-12-10,212.5,,474.3999938964844,30.799999237060547,,12.149999618530273,35.650001525878906,88.6500015258789,34.0,38.599998474121094
2020-12-11,212.6999969482422,,469.8500061035156,31.200000762939453,,13.649999618530273,36.29999923706055,87.30000305175781,34.599998474121094,38.45000076293945
2020-12-14,215.39999389648438,,493.3500061035156,31.600000381469727,,14.699999809265137,36.79999923706055,86.4000015258789,34.150001525878906,39.150001525878906
2020-12-15,232.0,,502.8500061035156,31.200000762939453,,14.800000190734863,36.70000076293945,86.25,33.900001525878906,39.150001525878906
2020-12-16,231.89999389648438,,506.1499938964844,33.04999923706055,,14.25,39.150001525878906,86.94999694824219,34.400001525878906,39.5
2020-12-17,225.89999389648438,,498.6499938964844,32.150001525878906,,13.899999618530273,38.20000076293945,86.94999694824219,33.54999923706055,39.95000076293945
2020-12-18,225.25,,483.8999938964844,32.150001525878906,,14.149999618530273,37.70000076293945,83.94999694824219,32.20000076293945,40.150001525878906
2020-12-21,212.64999389648438,,456.25,29.950000762939453,,12.899999618530273,35.599998474121094,80.1500015258789,30.200000762939453,38.849998474121094
2020-12-22,214.5500030517578,,476.70001220703125,30.399999618530273,,13.949999809265137,35.75,83.44999694824219,30.0,38.650001525878906
2020-12-23,217.10000610351562,,488.1000061035156,30.850000381469727,,15.550000190734863,36.5,82.19999694824219,32.900001525878906,38.849998474121094
2020-12-24,217.3000030517578,,484.45001220703125,31.149999618530273,,14.75,36.650001525878906,82.8499984741211,33.70000076293945,39.45000076293945
2020-12-28,220.14999389648438,,490.6499938964844,31.5,,13.899999618530273,36.599998474121094,83.0,33.29999923706055,39.29999923706055
2020-12-29,218.14999389648438,,485.6499938964844,31.049999237060547,,12.850000381469727,36.150001525878906,82.5,32.79999923706055,40.099998474121094
2020-12-30,219.14999389648438,,480.5,31.049999237060547,,13.350000381469727,36.150001525878906,83.4000015258789,32.70000076293945,39.70000076293945
2020-12-31,223.5,,480.75,30.899999618530273,,13.399999618530273,35.900001525878906,84.05000305175781,33.150001525878906,39.599998474121094
2021-01-01,224.9499969482422,,478.3999938964844,31.100000381469727,,13.399999618530273,36.5,85.80000305175781,33.04999923706055,41.54999923706055
2021-01-04,219.0500030517578,,495.6000061035156,31.25,,13.050000190734863,36.849998474121094,85.75,32.900001525878906,41.099998474121094
2021-01-05,222.5,,491.95001220703125,30.899999618530273,,12.850000381469727,36.5,84.69999694824219,32.849998474121094,41.400001525878906
2021-01-06,221.1999969482422,,487.0,30.549999237060547,,12.75,36.150001525878906,83.5999984741211,33.29999923706055,40.849998474121094
2021-01-07,218.9499969482422,,518.0499877929688,30.450000762939453,,12.800000190734863,35.95000076293945,85.0,33.79999923706055,40.099998474121094
2021-01-08,231.14999389648438,,527.9000244140625,31.450000762939453,,12.800000190734863,37.25,84.80000305175781,33.70000076293945,39.150001525878906
2021-01-11,223.64999389648438,,521.7000122070312,31.299999237060547,,13.0,37.04999923706055,83.69999694824219,33.849998474121094,39.599998474121094
