,RELIANCE.NS,ONGC.NS,BPCL.NS,IOC.NS,GAIL.NS,ATGL.NS,HINDPETRO.NS,PETRONET.NS,IGL.NS
2020-11-03,1850.4000244140625,66.30000305175781,350.8500061035156,52.0,55.96666717529297,222.9499969482422,185.64999389648438,224.85000610351562,407.1499938964844
2020-11-04,1913.199951171875,66.44999694824219,348.8500061035156,51.96666717529297,55.56666564941406,231.35000610351562,186.75,225.9499969482422,406.70001220703125
2020-11-05,1955.0,67.5999984741211,366.29998779296875,53.20000076293945,58.29999923706055,235.4499969482422,205.25,225.35000610351562,421.5
2020-11-06,2029.1500244140625,68.0,362.45001220703125,53.5,57.20000076293945,239.85000610351562,205.35000610351562,230.4499969482422,421.6499938964844
2020-11-09,2050.699951171875,68.44999694824219,375.54998779296875,54.133331298828125,57.666664123535156,238.8000030517578,208.0500030517578,238.14999389648438,423.20001220703125
2020-11-10,2084.550048828125,70.75,382.79998779296875,56.166664123535156,60.133331298828125,236.6999969482422,212.5,239.10000610351562,423.1499938964844
2020-11-11,1997.199951171875,72.3499984741211,394.0,56.666664123535156,61.96666717529297,234.14999389648438,214.6999969482422,240.9499969482422,448.29998779296875
2020-11-12,1980.0,71.55000305175781,394.6499938964844,56.86666488647461,62.03333282470703,240.5500030517578,213.60000610351562,243.60000610351562,438.29998779296875
2020-11-13,1996.4000244140625,72.1500015258789,394.0,56.5,61.86666488647461,243.10000610351562,214.64999389648438,254.35000610351562,436.45001220703125
2020-11-14,2002.300048828125,72.6500015258789,412.8500061035156,57.766666412353516,62.33333206176758,244.6999969482422,219.5,254.25,435.25
2020-11-17,1993.25,71.30000305175781,394.6499938964844,56.633331298828125,62.36666488647461,292.29998779296875,217.6999969482422,259.3500061035156,439.0
2020-11-18,1987.199951171875,71.94999694824219,383.04998779296875,56.83333206176758,62.633331298828125,345.1000061035156,213.75,258.20001220703125,449.6499938964844
2020-11-19,1973.1500244140625,72.1500015258789,383.70001220703125,56.46666717529297,62.43333435058594,331.70001220703125,213.35000610351562,253.85000610351562,442.25
2020-11-20,1899.5,71.6500015258789,383.29998779296875,56.56666564941406,64.96666717529297,345.25,214.0500030517578,258.95001220703125,443.20001220703125
2020-11-23,1950.699951171875,76.5,394.45001220703125,57.633331298828125,67.26666259765625,344.6499938964844,215.39999389648438,252.60000610351562,449.6499938964844
2020-11-24,1964.050048828125,76.0999984741211,389.75,57.43333435058594,66.86666870117188,338.75,214.4499969482422,258.3500061035156,454.1499938964844
2020-11-25,1947.800048828125,80.80000305175781,382.04998779296875,57.166664123535156,68.19999694824219,324.8999938964844,212.0500030517578,257.0,450.1000061035156
2020-11-26,1952.5999755859375,80.19999694824219,378.0,57.06666564941406,68.5,316.3500061035156,213.14999389648438,256.0,448.1499938964844
2020-11-27,1929.800048828125,78.5,373.0,56.400001525878906,68.43333435058594,347.8999938964844,209.35000610351562,251.25,496.3999938964844
2020-12-01,1954.9000244140625,81.55000305175781,379.29998779296875,57.233333587646484,73.80000305175781,360.95001220703125,211.60000610351562,254.25,482.3999938964844
2020-12-02,1958.1500244140625,84.8499984741211,384.5,58.93333435058594,77.80000305175781,374.04998779296875,214.6999969482422,252.35000610351562,479.29998779296875
2020-12-03,1964.050048828125,88.69999694824219,393.8999938964844,59.93333435058594,78.83333587646484,364.04998779296875,220.25,256.04998779296875,484.1000061035156
2020-12-04,1946.75,89.8499984741211,392.29998779296875,60.266666412353516,79.86666870117188,358.54998779296875,216.64999389648438,262.04998779296875,478.45001220703125
2020-12-07,1958.199951171875,91.55000305175781,395.0,61.133331298828125,81.5999984741211,360.6000061035156,216.6999969482422,267.1499938964844,480.79998779296875
2020-12-08,1993.75,90.75,390.45001220703125,60.70000076293945,81.16666412353516,355.20001220703125,215.85000610351562,261.5,487.29998779296875
2020-12-09,2026.949951171875,91.19999694824219,395.1499938964844,62.633331298828125,81.66666412353516,362.8500061035156,218.3000030517578,257.70001220703125,483.1499938964844
2020-12-10,2007.0,91.6500015258789,399.29998779296875,61.633331298828125,80.03333282470703,355.20001220703125,215.5500030517578,254.89999389648438,481.70001220703125
2020-12-11,2005.800048828125,96.80000305175781,397.3999938964844,62.56666564941406,83.9000015258789,358.70001220703125,217.35000610351562,261.6000061035156,482.25
2020-12-14,1991.300048828125,101.5,405.45001220703125,64.13333129882812,83.63333129882812,358.95001220703125,228.6999969482422,266.75,495.45001220703125
2020-12-15,1974.3499755859375,100.44999694824219,398.6000061035156,63.633331298828125,83.5,358.70001220703125,226.4499969482422,266.8500061035156,483.1499938964844
