,DLF.NS,GODREJPROP.NS,PHOENIXLTD.NS,LODHA.NS,OBEROIRLTY.NS,PRESTIGE.NS,BRIGADE.NS,MAHLIFE.NS,IBREALEST.NS,SOBHA.NS
2020-02-03,230.85000610351562,1071.199951171875,828.3499755859375,,524.7000122070312,352.5,230.0500030517578,135.14999389648438,96.1500015258789,437.5
2020-02-04,245.25,1099.0,862.2999877929688,,540.2999877929688,352.3500061035156,233.5500030517578,135.51666259765625,92.05000305175781,402.54998779296875
2020-02-05,253.4499969482422,1151.4000244140625,880.25,,537.75,375.5,232.10000610351562,134.71665954589844,90.19999694824219,406.29998779296875
2020-02-06,246.3000030517578,1168.6500244140625,885.5,,537.9000244140625,381.25,239.75,134.6999969482422,91.44999694824219,412.1000061035156
2020-02-07,235.8000030517578,1168.800048828125,871.9500122070312,,533.7000122070312,373.45001220703125,235.64999389648438,134.6999969482422,91.30000305175781,406.04998779296875
2020-02-10,233.8000030517578,1155.8499755859375,877.3499755859375,,524.9500122070312,362.0,235.39999389648438,135.76666259765625,90.3499984741211,397.04998779296875
2020-02-11,233.85000610351562,1150.550048828125,883.7999877929688,,519.5,379.1000061035156,231.5500030517578,134.39999389648438,92.55000305175781,387.8999938964844
2020-02-12,230.85000610351562,1145.0,882.0,,520.7000122070312,372.20001220703125,227.6999969482422,133.3333282470703,92.69999694824219,384.5
2020-02-13,231.35000610351562,1129.6500244140625,888.3499755859375,,517.2999877929688,363.3500061035156,229.60000610351562,132.01666259765625,92.0,376.54998779296875
2020-02-14,226.1999969482422,1139.75,868.2999877929688,,507.1000061035156,365.1499938964844,227.3000030517578,128.53334045410156,89.94999694824219,381.45001220703125
2020-02-17,219.39999389648438,1132.5999755859375,862.9000244140625,,502.3999938964844,360.70001220703125,228.39999389648438,126.93333435058594,87.19999694824219,378.3999938964844
2020-02-18,217.9499969482422,1113.0,854.75,,510.54998779296875,348.3500061035156,226.1999969482422,126.0,86.9000015258789,364.6499938964844
2020-02-19,226.89999389648438,1081.800048828125,866.5999755859375,,510.20001220703125,364.79998779296875,229.10000610351562,127.75,87.30000305175781,352.3500061035156
